id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1770,887,2026-08-12,CAT,,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,saida_cliente,,Envio para cliente,,,,
1771,588,2026-08-12,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,CAT,,retorno_cliente,,Retorno de cliente,,,,
1772,636,2026-08-12,CAT,,Santa Casa De são Roque,,saida_cliente,,Envio para cliente,,,,
1773,896,2026-08-13,CAT,,Humana Ibirapuera,,saida_cliente,,Envio para cliente,,,,
1774,897,2026-08-13,CAT,,Humana Ibirapuera,,saida_cliente,,Envio para cliente,,,,
1775,513,2026-08-14,CAT,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1776,519,2026-08-14,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1777,513,2026-08-21,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1778,754,2026-08-21,CAT,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1779,588,2026-08-22,CAT,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,saida_cliente,,Envio para cliente,,,,
1780,849,2026-08-22,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,CAT,,retorno_cliente,,Retorno de cliente,,,,
1781,578,2026-08-27,CAT,,Upa São Dimas ( Amparo),,saida_cliente,,Envio para cliente,,,,
1782,854,2026-08-28,CAT,,Upa de Americana,,saida_cliente,,Envio para cliente,,,,
1783,849,2026-08-29,CAT,,AES Hosp do Ipiranga,,saida_cliente,,Envio para cliente,,,,
1784,584,2026-08-29,CAT,,AES Hosp do Ipiranga,,saida_cliente,,Envio para cliente,,,,
1785,515,2026-09-02,CAT,,Araguaya,,saida_cliente,,Envio para cliente,,,,
1786,522,2026-09-02,Araguaya,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1787,784,2026-09-02,Araguaya,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1788,670,2026-09-02,CAT,,Porsche Naçoes Unidas,,saida_cliente,,Envio para cliente,,,,
1789,898,2026-09-02,Porsche Naçoes Unidas,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1790,888,2026-09-04,Unidade Mista de Embu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1791,642,2026-09-06,CAT,,Aes Brasilandia,,saida_cliente,,Envio para cliente,,,,
1792,533,2026-09-06,AES Brasilandia,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1793,898,2026-09-09,CAT,,Porsche Matriz,,saida_cliente,,Envio para cliente,,,,
1794,714,2026-09-11,CAT,,Amparo,,saida_cliente,,Envio para cliente,,,,
1795,711,2026-09-12,CAT,,Juquitiba,,saida_cliente,,Envio para cliente,,,,
1796,787,2026-09-12,Juquitiba,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1797,802,2026-09-17,CAT,,Hora Certa Cidade Ademar,,saida_cliente,,Envio para cliente,,,,
